Title,url,tag_list,tag_list2
GYM (Fitness Commercial,https://www.youtube.com/watch?v=lhxPHtOEP3k,"Male,Female,OfficeProfessionals,Wearing_Lipstick,Wearing_Casuals,MiddleClass,HigherMiddleClass,Sunglasses,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,DenseBeard,Male,Female,OfficeProfessionals,Wearing_Lipstick,Wearing_Casuals,MiddleClass,HigherMiddleClass,Sunglasses,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,DenseBeard,Students,Wearing_Formals,LowMiddleClass,UpperClass,Kids(1-15yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,StraightHair,WavyHair,Bangs,SlightBeard,Mustaches,Goatee","Old(55yrs.above),Bald"
Heineken - The Odyssey,https://www.youtube.com/watch?v=0Jpl_fkbiq8,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),SlightBeard,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,Young(16-35yrs.),MiddleAge(35-55yrs.),SlightBeard,DenseBeard,Mustaches,Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,MiddleClass,HigherMiddleClass,Old(55yrs.above),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),Bald,RecedingHairline,ColourHighlights,ColourStreaks,NoBeard,Goatee",Kids(1-15yrs.)
Hrithik Roshan - RADO,https://www.youtube.com/watch?v=ag5aY0DJ0SI,"Male,OfficeProfessionals,Wearing_Necklace,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Necklace,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,DenseBeard,Mustaches,Female,Wearing_Formals,Wearing_Necktie,HigherMiddleClass,Sunglasses,Young(16-35yrs.),HeavyMakeup,GrayHair,WhiteHair,SlightBeard","LowIncomeGroup,LowMiddleClass,MiddleClass,Kids(1-15yrs.)"
iPage Website builder,https://www.youtube.com/watch?v=zrIe6n-ZK_E,"OfficeProfessionals,MiddleAge(35-55yrs.),OfficeProfessionals,MiddleAge(35-55yrs.),Male,Female,LowMiddleClass,MiddleClass,HigherMiddleClass,Young(16-35yrs.),GrayHair,WhiteHair","Old(55yrs.above),Bald,RecedingHairline"
Kopaka Men's Wear,https://www.youtube.com/watch?v=qlJiMiOnXkg,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,HigherMiddleClass,Young(16-35yrs.),StraightHair,NoBeard,SlightBeard,DenseBeard,Mustaches","Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),RosyCheeks,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),BigNose,BigLips,BushyEyeBrows,HeavyMakeup"
L'Oréal Paris Matte Lipsticks,https://www.youtube.com/watch?v=h6OyiElMSpo,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),RosyCheeks,BigLips,HeavyMakeup,Bangs,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),RosyCheeks,BigLips,HeavyMakeup,Bangs,Young(16-35yrs.)","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),NoBeard,SlightBeard,DenseBeard,Mustaches,Goatee"
L'Oreal Paris Revitalift Crystal,https://www.youtube.com/watch?v=vvV_zTy5We8,"Female,Wearing_Lipstick,Wearing_Necklace,Old(55yrs.above),RosyCheeks,DarkCircles,HeavyMakeup,Bald,RecedingHairline,WhiteHair,DarkCircleundereyes,Female,Wearing_Lipstick,Wearing_Necklace,Old(55yrs.above),RosyCheeks,DarkCircles,HeavyMakeup,Bald,RecedingHairline,WhiteHair,DarkCircleundereyes,Wearing_Earrings,MiddleClass,HigherMiddleClass,UpperClass,MiddleAge(35-55yrs.),GrayHair","Students,Kids(1-15yrs.),Young(16-35yrs.),DenseBeard"
Lakmé 9to5 Primer,https://www.youtube.com/watch?v=RskPEezFPos,"Female,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),Female,Wearing_Lipstick,HigherMiddleClass,UpperClass,Young(16-35yrs.),OfficeProfessionals,Wearing_Earrings,Wearing_Necklace,Wearing_Formals,MiddleClass,MiddleAge(35-55yrs.),RosyCheeks,WavyHair,Bangs,ColourHighlights,ColourStreaks","Male,Kids(1-15yrs.),Bald,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,Goatee"
Lenskart.com Frames,https://www.youtube.com/watch?v=kPMLVO45XaU,"Students,Specatacles,Sunglasses,Kids(1-15yrs.),Young(16-35yrs.),Students,Specatacles,Sunglasses,Kids(1-15yrs.),Young(16-35yrs.),Male,Female,Wearing_Formals,Wearing_Casuals,LowIncomeGroup,LowMiddleClass,MiddleClass,ColourHighlights,ColourStreaks,NoBeard,SlightBeard",Old(55yrs.above)
Levi's Women's Denim,https://www.youtube.com/watch?v=RDXZv1igkKA,"Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Casuals,MiddleClass,Young(16-35yrs.),RosyCheeks,ChubbyFace,HeavyMakeup,Female,Students,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Casuals,MiddleClass,Young(16-35yrs.),RosyCheeks,ChubbyFace,HeavyMakeup,OfficeProfessionals,LowMiddleClass,StraightHair,WavyHair,Bangs,ColourHighlights,ColourStreaks","Male,Kids(1-15yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes"
M&S Women's,https://www.youtube.com/watch?v=RRv5udKGG68,"Female,OfficeProfessionals,Wearing_Formals,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,WavyHair,Bangs,ColourHighlights,Female,OfficeProfessionals,Wearing_Formals,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,WavyHair,Bangs,ColourHighlights,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,MiddleClass,HigherMiddleClass,BigLips,DarkCircles,HeavyMakeup,StraightHair","Male,LowIncomeGroup,Kids(1-15yrs.),Bald,SlightBeard,DenseBeard,Mustaches,Goatee"
Mac Book Pro,https://www.youtube.com/watch?v=hs1HoLs4SD0,"Male,Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,HigherMiddleClass,UpperClass,Young(16-35yrs.),RosyCheeks,Male,Students,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,HigherMiddleClass,UpperClass,Young(16-35yrs.),RosyCheeks,Female,Wearing_Lipstick,Wearing_Casuals,MiddleAge(35-55yrs.),Bald,RecedingHairline,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,DarkCircleundereyes","LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),Old(55yrs.above)"
Miss Dior,https://www.youtube.com/watch?v=h4s0llOpKrU,"Female,OfficeProfessionals,Wearing_Lipstick,UpperClass,MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,ColourHighlights,Female,OfficeProfessionals,Wearing_Lipstick,UpperClass,MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,ColourHighlights,Wearing_Earrings,Wearing_Necklace,Wearing_Formals,HigherMiddleClass,Young(16-35yrs.),Old(55yrs.above),WavyHair,Bangs","Male,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),Bald,RecedingHairline,SlightBeard,DenseBeard,Mustaches,Goatee"
Nokia Lumia,https://www.youtube.com/watch?v=0-U4Yr9UNBo,"OfficeProfessionals,Young(16-35yrs.),MiddleAge(35-55yrs.),OfficeProfessionals,Young(16-35yrs.),MiddleAge(35-55yrs.),Male,Female,Students,Wearing_Necklace,Wearing_Formals,Wearing_Casuals,MiddleClass,HigherMiddleClass,DarkCircleundereyes","UpperClass,MiddleAge(35-55yrs.),Kids(1-15yrs.)"
PlayStation®VR,https://www.youtube.com/watch?v=-GXvYexMoZY,"UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Students,OfficeProfessionals,MiddleClass,HigherMiddleClass,Specatacles,Sunglasses,Kids(1-15yrs.),DarkCircles,SlightBeard,DarkCircleundereyes","Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,RosyCheeks,DoubleChin,BigNose,BigLips,BushyEyeBrows,HeavyMakeup,Bald,StraightHair,WavyHair,Bangs,RecedingHairline,BrownHair,BlackHair,GrayHair,WhiteHair,ColourHighlights,ColourStreaks"
Prophet and Tools Beard Oil,https://www.youtube.com/watch?v=BMXWRhJsZs8,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Young(16-35yrs.),VisibleCheekBones(Fit),DenseBeard,Male,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Wearing_Necktie,MiddleClass,HigherMiddleClass,Young(16-35yrs.),VisibleCheekBones(Fit),DenseBeard,Students,MiddleAge(35-55yrs.),ChubbyFace,DoubleChin,StraightHair,BrownHair,BlackHair,ColourHighlights,ColourStreaks,SlightBeard,Goatee","Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,LowIncomeGroup,Kids(1-15yrs.),Old(55yrs.above),RosyCheeks,NoBeard,Mustaches"
RALPH LAUREN Clothing,https://www.youtube.com/watch?v=x6sf6fvSnhk,"Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,Female,OfficeProfessionals,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Wearing_Formals,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),RosyCheeks,HeavyMakeup,MiddleClass,BigLips,WavyHair,ColourHighlights,ColourStreaks","Male,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),Bald,RecedingHairline,GrayHair,WhiteHair,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes"
Ray-Ban Shades,https://www.youtube.com/watch?v=P4H9wBnfsYA,"OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Specatacles,Sunglasses,Young(16-35yrs.),DenseBeard,OfficeProfessionals,Wearing_Formals,Wearing_Casuals,Specatacles,Sunglasses,Young(16-35yrs.),DenseBeard,Male,Female,Wearing_Lipstick,Wearing_Necktie,MiddleClass,HigherMiddleClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,StraightHair,WavyHair,Bangs,BrownHair,BlackHair,ColourHighlights,ColourStreaks,SlightBeard,Goatee","LowIncomeGroup,Kids(1-15yrs.)"
Raymond Made To Measure,https://www.youtube.com/watch?v=f2QKxNxfQOs,"Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,HigherMiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,Male,OfficeProfessionals,Wearing_Formals,Wearing_Necktie,HigherMiddleClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,Wearing_Casuals,MiddleClass,Specatacles,NoBeard,SlightBeard,DenseBeard,Mustaches,Goatee,DarkCircleundereyes","Female,Wearing_Earrings,Wearing_Lipstick,Wearing_Necklace,Kids(1-15yrs.),RosyCheeks,HeavyMakeup"
Reebok Z Jet Running Shoes,https://www.youtube.com/watch?v=z1rCMzkbhmc,"Male,MiddleClass,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Male,MiddleClass,HigherMiddleClass,UpperClass,Young(16-35yrs.),MiddleAge(35-55yrs.),Female,Students,OfficeProfessionals,Wearing_Casuals,ChubbyFace,DoubleChin,VisibleCheekBones(Fit),GrayHair,ColourHighlights,ColourStreaks,SlightBeard,DenseBeard,Mustaches,DarkCircleundereyes","RosyCheeks,HeavyMakeup"
Rolex Advert Men,https://www.youtube.com/watch?v=caoeIr8d1fU,"Male,OfficeProfessionals,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,NoBeard,DenseBeard,Mustaches,Male,OfficeProfessionals,Wearing_Necklace,Wearing_Formals,Wearing_Necktie,UpperClass,MiddleAge(35-55yrs.),Old(55yrs.above),Bald,RecedingHairline,GrayHair,WhiteHair,NoBeard,DenseBeard,Mustaches,HigherMiddleClass,Specatacles,SlightBeard","Students,LowIncomeGroup,LowMiddleClass,Kids(1-15yrs.),RosyCheeks"
Snap Fitness,https://www.youtube.com/watch?v=Y9xoKkj71IA,"Male,Female,MiddleClass,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,SlightBeard,DenseBeard,Mustaches,Male,Female,MiddleClass,Young(16-35yrs.),ChubbyFace,DoubleChin,VisibleCheekBones(Fit),ColourHighlights,ColourStreaks,SlightBeard,DenseBeard,Mustaches,Students,OfficeProfessionals,Wearing_Lipstick,Wearing_Formals,Wearing_Casuals,HigherMiddleClass,UpperClass,Sunglasses,MiddleAge(35-55yrs.)","Old(55yrs.above),Bald"
